start_tag,end_tag,start_lat,start_lon,end_lat,end_lon,distance,time_slot,start_x,start_y,end_x,end_y
2019-08-21 17:30:00,2019-08-21 17:30:00,38.264,-85.728,38.261,-85.73,376.5231984585284,0,15,25,14,24
2019-05-07 17:30:00,2019-05-07 18:00:00,38.257,-85.706,38.259,-85.696,901.0130519596429,0,24,22,28,23
2018-10-23 17:45:00,2018-10-23 17:45:00,38.257,-85.759,38.254,-85.758,344.8231470711914,0,2,22,2,21
2019-06-26 19:30:00,2019-06-26 19:30:00,38.253,-85.756,38.253,-85.755,87.3196539432377,2,3,20,3,20
2019-05-04 21:15:00,2019-05-04 21:30:00,38.221,-85.762,38.223,-85.764,282.8111588304655,4,0,6,0,7
2019-07-03 11:00:00,2019-07-03 11:15:00,38.217,-85.757,38.221,-85.763,687.4414783019301,18,2,4,0,6
2019-06-09 13:30:00,2019-06-09 13:45:00,38.251,-85.758,38.257,-85.76,689.6472069295265,20,2,20,1,22
2019-09-22 14:30:00,2019-09-22 14:30:00,38.207,-85.747,38.206,-85.748,141.41707592722028,21,7,0,6,0
2019-09-24 14:30:00,2019-09-24 14:30:00,38.227,-85.755,38.225,-85.76,490.1192939503001,21,3,9,1,8
